creator
"Shieber, Stuart"
"Shieber, Stuart"
"Marks, Joe"
"Shieber, Stuart"
"Johari, Ramesh"
"Partovi, Ali"
"Shieber, Stuart"
"Hobbs, Jerry"
"Shieber, Stuart"
"Moore, Robert C."
"Pereira, Fernando C. N."
"van Noord, Gertjan"
"Shieber, Stuart"
"Pereira, Fernando C. N."
"Dalrymple, Mary"
"Shieber, Stuart"
"Shieber, Stuart"
"Schabes, Yves"
"Darnton, Robert"
"Shieber, Stuart"
"Shieber, Stuart"
"Nelken, Rani"
"Thorpe, Christopher"
"Shieber, Stuart"
"Rabin, Michael"
"Parkes, David"
"Shieber, Stuart"
"Lappin, Shalom"
"Shieber, Stuart"
"Ohno-Machado, Lucila"
"Weber, Griffin"
"Shieber, Stuart"
"Kehler, Andrew"
"Zabih, Ramin"
"Kolmogorov, Vladimir"
"Gortler, Steven"
"Shieber, Stuart"
"Marks, Joe"
"Ngo, J. Thomas"
"Ruml, Wheeler"
"Shieber, Stuart"
"Silverstein, Craig"
"Shieber, Stuart"
"Pereira, Fernando C. N."
"Dalrymple, Mary"
"Shieber, Stuart"
"Shieber, Stuart"
"Pereira, Fernando C. N."
"Schabes, Yves"
"Shieber, Stuart"
"Kosak, Corey"
"Shieber, Stuart"
"Marks, Joe"
"Shieber, Stuart"
"Schabes, Yves"
"Johnson, Mark"
"Shieber, Stuart"
"Shieber, Stuart"
"Edmondson, Shawn"
"Shieber, Stuart"
"Christensen, Jon"
"Marks, Joe"
"Christensen, Jon"
"Shieber, Stuart"
"Marks, Joe"
"Shieber, Stuart"
"Rosenschein, Stanley J."
"Shieber, Stuart"
"Shieber, Stuart"
"Pereira, Fernando C. N."
"Moore, Robert C."
"van Noord, Gertjan"
"Shieber, Stuart"
"Shieber, Stuart"
"Schabes, Yves"
"Tao, Xiaopeng"
"Shieber, Stuart"
"Rauenbusch, Timothy W."
"Grosz, Barbara"
"Shieber, Stuart"
"Hull, Robert"
"Jacobson, Dale C."
"Poate, John M."
"Turnbull, David"
"Aziz, Michael"
"Nygren, Eric"
"Nevins, Andrew"
"Shieber, Stuart"
"Grosz, Barbara"
"Pfeffer, Avrom"
"Ficici, Sevan"
"Gal, Ya'akov Kobi"
"Grosz, Barbara"
"Rubin, Andee"
"Yamangil, Elif"
"Shieber, Stuart"
"Gal, Ya'akov Kobi"
"Nesson, Rebecca"
"Shieber, Stuart"
"Satta, Giorgio"
"Shieber, Stuart"
"Nesson, Rebecca"
"Shieber, Stuart"
"Gal, Ya'akov Kobi"
"Allain, Alex"
"Grosz, Barbara"
"Pfeffer, Avrom"
"Shieber, Stuart"
"Nesson, Rebecca"
"Rush, Alexander"
"Shieber, Stuart"
"Shieber, Stuart"
"Parkes, David"
"Rabin, Michael"
"Thorpe, Christopher"
"Shieber, Stuart"
"Nesson, Rebecca"
"Nickerson, Jill"
"Shieber, Stuart"
"Grosz, Barbara"
"Shieber, Stuart"
"Shieber, Stuart"
"Shieber, Stuart"
"Nelken, Rani"
"Shieber, Stuart"
"Nelken, Rani"
"Shieber, Stuart"
"Kulesza, Alex"
"Carbone, Marco"
"Shieber, Stuart"
"Gal, Ya'akov Kobi"
"Nederhof, Mark-Jan"
"Shieber, Stuart"
"Satta, Giorgio"
"Shieber, Stuart"
"Baker, Ellie"
"Babaian, Tamara"
"Shieber, Stuart"
"Grosz, Barbara"
"Brants, Thorsten"
"Flickinger, Dan"
"Manning, Christopher"
"Shieber, Stuart"
"Toutanova, Kristina"
"Oepen, Stephan"
"Oepen, Stephan"
"Flickinger, Dan"
"Manning, Christopher"
"Shieber, Stuart"
"Toutanova, Kristina"
"Ngo, J. Thomas"
"Shieber, Stuart"
"Ruml, Wheeler"
"Marks, Joe"
"Lawless, David"
"Ng, Brenda"
"Das, Subrata"
"Pfeffer, Avrom"
"Fudenberg, Drew"
"Dreber, Anna"
"Rand, David G."
"Nowak, Martin"
"Sagi, Irit"
"Lewis, Kristin"
"Tworowski, Dmitry"
"Shahar, Chen"
"Selzer, Tzvia"
"Marks, Joe"
"Ruml, Wheeler"
"Andalman, Brad"
"Ryall, Kathy"
"Shieber, Stuart"
"Marks, Joe"
"Shieber, Stuart"
"Ryall, Kathy"
"Marks, Joe"
"Friedman, Stacy"
"Christensen, Jon"
"Shieber, Stuart"
"Gibson, Sarah"
"Beardsley, Paul"
"Ruml, Wheeler"
"Kang, Thomas"
"Mirtich, Brian"
"Seims, Joshua"
"Freeman, William"
"Hodgins, Jessica"
"Pfister, Hanspeter"
"Marks, Joe"
"Andalman, Brad"
"Shieber, Stuart"
"Marks, Joe"
"Ryall, Kathy"
"Shieber, Stuart"
"Schabes, Yves"
"Shieber, Stuart"
"Shieber, Stuart"
"Marks, Joe"
"Ginsburg, Adam"
"Shieber, Stuart"
"Mazer, Murray"
"Marks, Joe"
"Ryall, Kathy"
"Schabes, Yves"
"Shieber, Stuart"
"Shieber, Stuart"
"Shieber, Stuart"
"Shieber, Stuart"
"Pereira, Fernando C. N."
"Shieber, Stuart"
"Ellison, Aaron"
"Gotelli, Nicholas J."
"Feldman, Gary"
"Cousins, Robert D."
"Tarokh, Vahid"
"Smida, Besma"
"Tarokh, Vahid"
"Ghassemzadeh, Saeed"
"Efthymoglou, George"
"Smida, Besma"
"Shieber, Stuart"
"Shieber, Stuart"
"Shieber, Stuart"
"Robinson, Jane J."
"Stucky, Susan U."
"Uszkoreit, Hans"
