recordIdentifier,subjectID
oai:dash.harvard.edu:1/2031670,computer science
oai:dash.harvard.edu:1/2031670,natural-language processing
oai:dash.harvard.edu:1/2031670,computational linguistics
oai:dash.harvard.edu:1/2019322,computational linguistics
oai:dash.harvard.edu:1/2019322,computer science
oai:dash.harvard.edu:1/2019322,natural-language processing
oai:dash.harvard.edu:1/2026618,computer science
oai:dash.harvard.edu:1/2026618,computational linguistics
oai:dash.harvard.edu:1/2027201,tactical generation
oai:dash.harvard.edu:1/2027201,natural-language generation
oai:dash.harvard.edu:1/2027201,tree-adjoining grammars
oai:dash.harvard.edu:1/2027202,library
oai:dash.harvard.edu:1/2027202,digital age
oai:dash.harvard.edu:1/2027204,language modeling
oai:dash.harvard.edu:1/2027204,natural language engineering
oai:dash.harvard.edu:1/2027204,computer science
oai:dash.harvard.edu:1/2223518,contrastive specification
oai:dash.harvard.edu:1/2223518,multiple agree
oai:dash.harvard.edu:1/2223518,third person
oai:dash.harvard.edu:1/2223518,clitic clusters
oai:dash.harvard.edu:1/2223518,person case constraint
oai:dash.harvard.edu:1/2223518,spurious se
oai:dash.harvard.edu:1/2223518,me lui
oai:dash.harvard.edu:1/2223518,person features
oai:dash.harvard.edu:1/2223519,particle filtering
oai:dash.harvard.edu:1/2223519,multi-agent tracking
oai:dash.harvard.edu:1/2223519,goal detection
oai:dash.harvard.edu:1/2223519,threat detection
oai:dash.harvard.edu:1/2338528,castilleja indivisa
oai:dash.harvard.edu:1/2338528,entireleaf Indian paintbrush
oai:dash.harvard.edu:1/2338528,catechins
oai:dash.harvard.edu:1/2338528,cuscutaceae
oai:dash.harvard.edu:1/2338528,pectin methyl esterase
oai:dash.harvard.edu:1/2338528,orobanchaceae
oai:dash.harvard.edu:1/2338528,Camellia sinensis
oai:dash.harvard.edu:1/2338528,parasitism
oai:dash.harvard.edu:1/2338528,cuscuta pentagona
oai:dash.harvard.edu:1/2338528,inhibition
oai:dash.harvard.edu:1/2338528,cell wall degrading enzymes
oai:dash.harvard.edu:1/2338528,dodder
oai:dash.harvard.edu:1/2338528,green tea
oai:dash.harvard.edu:1/2338528,epigallocatechin gallate
oai:dash.harvard.edu:1/2338528,theaceae
oai:dash.harvard.edu:1/2265303,carnivorous plants
oai:dash.harvard.edu:1/2265303,niche overlap
oai:dash.harvard.edu:1/2265303,competition
oai:dash.harvard.edu:1/2265303,Darwin
oai:dash.harvard.edu:1/2265303,energetics
oai:dash.harvard.edu:1/2265303,universal spectrum of leaf traits
oai:dash.harvard.edu:1/2265303,phylogeny
oai:dash.harvard.edu:1/2265303,construction costs
oai:dash.harvard.edu:1/2265303,prey capture
oai:dash.harvard.edu:1/2265303,cost-benefit model
oai:dash.harvard.edu:1/2309662,neutrino oscillations
oai:dash.harvard.edu:1/2309662,statistics
oai:dash.harvard.edu:1/2309662,data analysis
oai:dash.harvard.edu:1/2309662,particle physics
oai:dash.harvard.edu:1/2379544,self
oai:dash.harvard.edu:1/2379544,agency
oai:dash.harvard.edu:1/2379544,subliminal priming
oai:dash.harvard.edu:1/2379544,attribution
oai:dash.harvard.edu:1/2380002,hyperaccessibility
oai:dash.harvard.edu:1/2380002,priming
oai:dash.harvard.edu:1/2380002,thought suppression
oai:dash.harvard.edu:1/2579646,simulation
oai:dash.harvard.edu:1/2579646,collaboration
oai:dash.harvard.edu:1/2579646,intention reconciliation
oai:dash.harvard.edu:1/2579646,multi-agent systems
oai:dash.harvard.edu:1/2579646,social consciousness
oai:dash.harvard.edu:1/2579646,decision-making
oai:dash.harvard.edu:1/2640579,combinatorial auction
oai:dash.harvard.edu:1/2640579,multi-agent systems
oai:dash.harvard.edu:1/2640579,rational utility-maximizing agents
oai:dash.harvard.edu:1/2640579,probability
oai:dash.harvard.edu:1/2640579,planning (artificial intelligence)
oai:dash.harvard.edu:1/2640579,time constraints
oai:dash.harvard.edu:1/2640579,collaborative planning
oai:dash.harvard.edu:1/2640579,optimal solution
oai:dash.harvard.edu:1/2640579,initial-commitment decision problem
oai:dash.harvard.edu:1/2560813,maternal effects
oai:dash.harvard.edu:1/2560813,pheromone
oai:dash.harvard.edu:1/2560813,Lepidoptera
oai:dash.harvard.edu:1/2560813,diet breadth
oai:dash.harvard.edu:1/2560813,host shift
oai:dash.harvard.edu:1/2560813,specialization
oai:dash.harvard.edu:1/2585485,17-β-estradiol
oai:dash.harvard.edu:1/2585485,adult body fatness
oai:dash.harvard.edu:1/2585485,breast cancer risk
oai:dash.harvard.edu:1/2585485,Norway
oai:dash.harvard.edu:1/2585485,age at menarche
oai:dash.harvard.edu:1/2579653,regime shift
oai:dash.harvard.edu:1/2580047,GDP growth
oai:dash.harvard.edu:1/2580047,government debt
oai:dash.harvard.edu:1/2580047,fiscal stabilization
oai:dash.harvard.edu:1/2600686,challenge hypothesis
oai:dash.harvard.edu:1/2600686,mating effort
oai:dash.harvard.edu:1/2600686,fatherhood
oai:dash.harvard.edu:1/2600686,parenting effort
oai:dash.harvard.edu:1/2600686,Datoga
oai:dash.harvard.edu:1/2600686,Hazda
oai:dash.harvard.edu:1/2580545,population variation
oai:dash.harvard.edu:1/2580545,androgen receptor
oai:dash.harvard.edu:1/2580545,Africa
oai:dash.harvard.edu:1/2580545,pastoral nomads
oai:dash.harvard.edu:1/2580545,testosterone
oai:dash.harvard.edu:1/2581622,clustered metabolic score
oai:dash.harvard.edu:1/2581622,pulse
oai:dash.harvard.edu:1/2581622,17a-estradiol
oai:dash.harvard.edu:1/2581622,leisure time physical activity
oai:dash.harvard.edu:1/2624455,sums of multilinear forms
oai:dash.harvard.edu:1/2624455,Burkholder-Rosenthal-type and Khintchine-type inequalities
oai:dash.harvard.edu:1/2624455,statistics
oai:dash.harvard.edu:1/2624455,autocorrelation processes
oai:dash.harvard.edu:1/2624455,stochastic Taylor expansion
oai:dash.harvard.edu:1/2624455,extremal distributions
oai:dash.harvard.edu:1/2624455,decoupling inequalities
